No,Produk,Ulasan,Rating
39,Lato-lato,Bola berat sesuai spek lato2. Demam permainan ini ampun deh. Packing aman. Warna juga bagus. Bahan bagus. Pengiriman standart,5
40,Lato-lato,Murah dibanding toko sebèlah,4
41,Skuter otoped,Otoped nya keren.. warna hijau nya tidak nora.. dan bahan otoped nya juga tebal.. tidak abal abal,5
42,Skuter otoped,Pengiriman cepat packing pakai kardus ya bisa di gunakan untuk mainan anak,5
43,Skuter otoped,Barang bagus pengiriman cepat produk aman untuk anak anak,5
44,Skuter otoped,Semoga kualitasnya bagus dan awet Harganya lumayan Pengemasan dan kecepatan pengiriman sangat baik,5
45,Skuter otoped,Barang baru sampe warnanya bagus menarik semoga awet mau buat kado ulang tahun saudara suka banget,5
46,Skuter otoped,Bagus semoga awet...,5
47,Skuter otoped,Keren,5
48,Skuter otoped,Recomended,5
49,Skuter otoped,Ga dirakit karena mau buat kado. Semoga ga ada masalah. Dr bahannya sih udah ok dan cukup kokoh,5
50,Skuter otoped,ban depannya tidak menyala...,4
51,Skuter otoped,Ada sedikit lecet dibagian jok nya tapi gapapa masih oke,4
52,Skuter otoped,Barang tidak lulus quality control tapi maksa tetep dikirim. Bikin nyesel beli ditoko ini.,2
53,Skuter otoped,SAYA KECEWA PESAN SKUTER YANG DATANG MALAH SEPEDA RODA 2 !! KALO EMANG BARANG TIDAK ADA HARUS NYA BILANG TIDAK ASAL MAIN KIRIM BARANG YANG LAIN !!,1
54,Skuter otoped,Bagus..,5
55,Skuter otoped,Pesanan sudah sampai. Pengiriman cepat. Insyaallah produk baik dan tidak ada kendala.,4
56,Skuter otoped,Pengiriman cepet barang aman seller ramah,5
57,Skuter otoped,Aku pilihnya hijau orange yang dateng biru kuning warnanya,3
58,Skuter otoped,Barang nya oke..cuma ada yg lecet entah dari toko atau ekspedisinya,4
59,Skuter otoped,"Yang dateng sepeda balance ordernya skuter, kesalahan toko tapi ga bisa tuker barang",2
60,Skuter otoped,sangat memuaskan,5
61,Skuter otoped,Makasih kak pesanan sudah nyampe sesuai pesanan... Harga murah lagi barangnya bagus juga...,4
62,Skuter otoped,bagus ... tapi suara musiknya ga nyala,3
63,Skuter otoped,Bagus semua berfungsi. Tapi gabisa belok,4
64,Skuter otoped,anak saya umur 2 tahun berat 13 kg tapi kaya meleyot gitu gak kuat bahannya kaya plastik biasa jadi kurang kokoh,2
65,Skuter otoped,saya kira bisa di belokin ternyata tidak ,2
66,Skuter otoped,lumayan,3
67,Skuter otoped,sesuai pesanan,4
68,Skuter otoped,lagunya gak mau nyala,2
69,Skuter otoped,Barangnya bagus oke,4
70,Skuter otoped,mantap,5
71,Boneka kaktus,Barang sesuai dengan pesanan pengiriman barang cepat tapi kurang rapih jahitan nya,4
72,Boneka kaktus,Kecewa lah masa gak bisa rekam suara. Pdhl udh percaya banget ke penjual yg Mall an pasti barang ori. Eh ini malah di bikin kecewa. Mana lama pengiriman. ,3
73,Boneka kaktus,Boneka kaktus nya bagus keponakan saya juga suka.,4
74,Boneka kaktus,Gak ngecewain pokoknya ,5
75,Boneka kaktus,Sesuai barang dateng dengan selamat tidak rusak sama sekali penggemasan ok,5
76,Boneka kaktus,kurang berat potnya jdi mudah jatuh kalo udah gerak,4
77,Boneka kaktus,Bagus sekali suaranya bagus dan bernyanyi dan menari menirukan orang yang bicara,5
78,Boneka kaktus,Baik tampilannya tapi sayang pantulan suara kurang jelas,5
79,Boneka kaktus,Tidak dpt casannya bingung jdinya,4
80,Boneka kaktus,Pengiriman nya lumayan lama tapi bagus lah,5
81,Boneka kaktus,Lucuuu... menarik utk anak.. walaupun anak saya takut awalnya. Bagus cuma suka jatuh kalo boneka goyangnya terlalu kencang.,5
82,Boneka kaktus,Barang bagus sesuai gambar. Semoga awet.,5
83,Boneka kaktus,Barang nyampenya cpt.. Sesuai pesanan.. Berfungsi baik.. Mksh..,4
84,Boneka kaktus,Anakku suka sekali dari baru dateng dimainin terus sampai dibawa kemana mana,5
85,Boneka kaktus,Pengiriman cepat harga murah dari yang lain nya admin nya juga baik kaktus nya gak ada yang rusak,5
86,Boneka kaktus,Pengiriman sangat cepat Tapi ga dapet kabel charger ,3
87,Boneka kaktus,bagus,5
88,Boneka kaktus,Barang rusak sudah dicas seharian tidak bergerak,1
89,Boneka kaktus,Barang oke pengiriman nya juga lumayan cepet ,5
90,Boneka kaktus,memuaskan,2
91,Boneka kaktus,Selalu puas belanja di sini ,5
92,Boneka kaktus,Terima kasih Barang sudah sampai dengan aman.. semua fitur berfungsi dengan baik..,5
93,Boneka kaktus,Barangnya rusak ngga bisa di nyalain padahal sudah di cas,1
94,Boneka kaktus,Berfungsi dengan baik musik dan perekam suaranya... Makasih seller. Sukses selalu.,5
95,Boneka kaktus,Bagus banget pengiriman cepet ngelatih anak biar suka ngomong,5
96,Boneka kaktus,lucu lagunya banyak semoga anaknya suka pake kado soalnya,4
97,Boneka kaktus,Bagus cuman topinya copot lemnya ga kuat jdi aku kasih bintang 3 ya,3
98,Boneka kaktus,Jelek baru nyampe gk ada suara nya masa kecewa gak bisa ngomong gak bisa musik,1
99,Boneka kaktus,Kualitas produk baik pengiriman produk cepat paking produk aman semuanya lengkap tanpa ada yang kurang,5
100,Boneka kaktus,Paket sudah diterima dengan baik.semua berfungsi dengan baik juga..,5
101,Boneka kaktus,Gambarnya tidak sesuai pesanan tapi gapapa lah bagus,4
102,Boneka kaktus,Agak sedikit kecewa sih krn ga ada kabel usb nya..,4
103,Boneka kaktus,jahitan pada pot kaktus rada miring,3
104,Boneka kaktus,Lampunya aja yg ga berfungsi..,4
105,Boneka kaktus,musiknya bukan untuk anak anak,3
106,Boneka kaktus,Suaranya kecil. beda dengan yang lain. pengemasan oke tidak ada yang pecah,4
107,Boneka kaktus,Dalemnya keliatan jahitan nya kurang rapi,4
108,Boneka kaktus,Barang datang dengan kondisi kaktusnya patah,1
109,Boneka kaktus,Tidak sesuai pesanan,1
110,Boneka kaktus,charger rusak barang juga rusak,1
111,Boneka kaktus,Baru di pake beberapa hari udh ga bisa nyala,2
112,Boneka kaktus,Kepala nya patah suaranya kecil menyesal saya,3
113,Boneka kaktus,Bonekanya cuma ada 1 mata,3
114,Boneka kaktus,Tidak bisa goyang mainan kaktusnya,3
115,Boneka kaktus,"Barang sesuai gambar, harga murah dan terjangkau",5
116,Boneka kaktus,Anak saya senang sekali main kaktus nya,5
117,Boneka kaktus,Kaktus nya lucu. Harga nya murah,5
118,Boneka kaktus,Secara keseluruhan baik hanya kurang pada penyelesaian detail produk saja. ,4
119,Boneka kaktus,packing kurang,4
120,Boneka kaktus,Tidak bisa berdiri tegak saat diputar musiknya harus dipegangi,4
121,Bubble gun,agus cuma sayang gk ada tutup baterainya,4
122,Bubble gun,bagus berfungsi,5
123,Bubble gun,Harusnya di jaga betul jgn sampe rusak. masa baru beli ud rusak total. merasa kecewa,1
124,Bubble gun,Kualitas sesuai harga. Tutup batre tidak presisi. Lumayan dah. Proses pengiriman lama,3
125,Bubble gun,Mohon di cek sebelum di kirim . Pengunci baterai hilang 1 . Pemutar bubble pecah tanpa ada pecahan nya,1
126,Bubble gun,Beli 2 minta 1  hitam 1  biru tapi di kirimnya 2 hitam.. Di tambah yg satu gak jalan.. ,3
127,Bubble gun,bagus tapi gak ada baterainya,3
128,Bubble gun,Sabunnya gak wangi… cukup mengganggu baunya,4
129,Bubble gun,Bagus sesuai harga,5
130,Bubble gun,ga keluar gelembungnya,1
131,Bubble gun,Barang nya bagus anak saya suka banget pengirimannya cepat juga,5
132,Bubble gun,suka banget pengemasannya cepat dan aman,5
133,Bubble gun,Saya BELI 6pc bubble gun dan BELI tambahan BUBBLE WRAP dan BELI KARDUS tapi nggak di kasih. ,4
134,Bubble gun,Bagus tapi sayang tempat gelembung nya ada yang pecah satu jadi basah deh kardus nya...gelembung sabun nya sampe habis pula,3
135,Bubble gun,Kualitas produk baik. Recommended,5
136,Bubble gun,Barang udh nyampe walaupun pengiriman lama sekali..anak nya suka makasih seller dan abang kurirnya...,5
137,Bubble gun,ada yg cacat tapi masih bisa digunakan,4
138,Bubble gun,Barang bagus tidak ada kerusakan saat diterima pengemasan juga rapih,5
139,Bubble gun,pengemasannya lama dan tidak sesuai gambar,3
140,Bubble gun,lumayan bagus untuk harga segitu,4
141,Bubble gun,Pengiriman express banget..sore pesen paginya dah sampe... ,5
142,Bubble gun,toko tidak bertanggung jawab tidak mau ganti rugi,1
143,Bubble gun,Ordernya 3 tp yg datang cuma 2 hitam aja,2
144,Bubble gun,Ahhh makasih barang nya bagus tanpa cacat,5
145,Bubble gun,beli warna pink dikasihnya hitam,2
146,Bubble gun,Bagus bgt mainannya anak ku seneng,5
147,Bubble gun,Sudah di cancel 1 paket masih juga di kirim padahal itu ganti mau tambah orderan jadi double kirim kan bayar double,3
148,Bubble gun,Paketnya udah nyampe..barangnya bagus..anak saya suka..,5
149,Bubble gun,Sedikit kecewa....pesan warna merah yg dikirim warna pink...,3
150,Bubble gun,Lumayan sih semoga awet ya,5
151,Bubble gun,Paket sudah di terima Pengiriman lama Harga Bersaing,5
152,Bubble gun,Sudah sampai paketnya.... Ok banget deh.... ternyata Bagus barangnya ya...,5
153,Bubble gun,Kemarin beli 1 gabisa nyala. Skrg beli lagi 2 eh 1 gabisa nyala. Parah bgt. Murah tp rusak,3
154,Bubble gun,barang diterima baik hanya saja 1  pegangannya ada yang copot jadi harus dibenerin dulu,4
155,Bubble gun,Paket nya sudah sampai.. pengiriman cepat pengemasan cepat packing ok..,4
156,Bubble gun,Barang datang sesuai pesanan..berfungsi dengan baik..bagus...,5
157,Bubble gun,Produknya ternyata lebih kecil dari perkiraan. Tapi produknya bagus kok dan berfungsi dengan baik,5
158,Bubble gun,Barangnya bagus saya kira sama besar sama yang saya punya dirumah ternyata agak kecil sedikit.. Gpp,5
159,Bubble gun,Praktis tinggal isi baterai dan pencet tidak perlu ditiup. Paket lengkap dengan sabun tempat sabun juga. Terima kasih.,5
160,Bubble gun,bahannya jelek baru datang sudah retak,1
161,gameboy,Paket aman sesuai harga,4
162,gameboy,sangat bagus,5
163,gameboy,pesen 2 yang satu layar nge blank,3
164,gameboy,cepat sampai,5
165,gameboy,Barang rusak di hari ke dua,1
166,gameboy,Bagus....terima kasih,5
167,gameboy,Pengiriman cepat kondisi nya bagus tanpa kerusakan,5
168,gameboy,sesuai dengan pesanan dan barang lengkap,5
169,gameboy,barangnya bagus pengiriman aman,5
170,gameboy,Cuman sudah chat pesan soal warna di kirim satu warna semua kecewa sih,4
171,gameboy,Barang yang dikirim LCD nya rusak,2
172,gameboy,sesuai harga,4
173,gameboy,sudah 4 kali pesan di toko ini tapi kali ini kok tidak ada kardusnya,3
174,gameboy,beli 2 tapi yang satunya rusak,3
175,gameboy,layarnya kebuka.. Udah chat seller tapi tidak di respon,3
176,gameboy,pengiriman lumayan lama,4
177,gameboy,Barang sudah diterima dan permainannya banyak,5
178,gameboy,Sesuai pesanan. Packing nya cepat dan aman. Bagus tidak ada yang cacat. Anak saya suka. Thanks seller,5
179,gameboy,Packingan bagus. Kotaknya bagus gak penyok jadinya. Semua berfungsi dgn baik.,5
180,gameboy,Gamenya rusak bos....,2
181,gameboy,tombol bawah gak bisa.. Udah minta retur ga boleh,1
182,gameboy,1 baterai nya ga bisa di pakai,4
183,gameboy,Keren banget. Orderan kali ini lebih cepat nyampe nya dari yg sebelumnya. Warna sesuai pesanan. Semua berfungsi dgn baik. Mantap lah pokoknya.,5
184,gameboy,Awalnya beli 1. Trs rebutan. Jd Beli lg.,5
185,gameboy,Pengiriman selalu cepat pengemasan nya juga cepat packing nya aman ini udah kesekian kali nya mesen disini dan produk nya tetap bagus recomended banget next bakal order lagi tetap dipertahankam kualitasnya,5
186,gameboy,Mantap banget pokoknya.,5
187,gameboy,layarnya hampir lepas.. Di chat tidak ada respon,2
188,gameboy,barangnya bagus masih berfungsi,5
189,gameboy,beberapa game ga muncul gambarnya,1
190,gameboy,barang rusak,1
191,gameboy,baru dimainin sebentar layarnya putih semua,2
192,gameboy,gambar bagian kiri tidak full,3
193,gameboy,beberapa game tidak bisa dimainkan,3
194,gameboy,Packingan ga bagus..kotak penyok semua..warna ga sesuai..,3
195,gameboy,Puas banget...,4
196,gameboy,kalau mau main harus sambil di cas,4
197,gameboy,barang bagus mulus semua,5
198,gameboy,barang berfungsi dengan baik,5
199,gameboy,sesuai pesanan.. Packingan juga rapih,5
200,gameboy,dikemas dengan cepat,5
